pipeline_pair,structure,t,p,cohen_d,n,p_adj
FS8001_vs_FS741,Left-Accumbens-area,13.183668123772398,1.1588005366480209e-38,0.4231332763447274,4229,1.0429204829832188e-36
FS8001_vs_FS741,Left-Amygdala,7.7063265242374825,1.8146598042246617e-14,0.25396582856557776,4229,1.6331938238021954e-12
FS8001_vs_FS741,Left-Caudate,6.904895965985398,6.1810534861168686e-12,0.22531743801505782,4229,5.562948137505181e-10
FS8001_vs_FS741,Left-Hippocampus,4.591521446408682,4.6001934410077044e-06,0.15076724374122286,4229,0.0004140174096906934
FS8001_vs_FS741,Left-Pallidum,8.687059661750794,6.017854674932072e-18,0.2808310601917199,4229,5.416069207438865e-16
FS8001_vs_FS741,Left-Putamen,11.523074682126717,4.961479129090212e-30,0.3783313299194971,4229,4.465331216181191e-28
FS8001_vs_FS741,Left-Thalamus,5.128355450177214,3.1239189561839954e-07,0.1678214931687919,4229,2.8115270605655957e-05
FS8001_vs_FS741,Right-Accumbens-area,6.561759369884168,6.254461475947143e-11,0.21245838661832592,4229,5.629015328352429e-09
FS8001_vs_FS741,Right-Amygdala,1.6993400603332518,0.08936501955414289,0.055433373462609424,4229,1.0
FS8001_vs_FS741,Right-Caudate,6.243222356239169,4.908813799322697e-10,0.2026195891660936,4229,4.4179324193904277e-08
FS8001_vs_FS741,Right-Hippocampus,3.45198301290265,0.0005647605869419399,0.11287318593351722,4229,0.05082845282477459
FS8001_vs_FS741,Right-Pallidum,6.948810823866486,4.480346591636749e-12,0.22362126601197957,4229,4.0323119324730743e-10
FS8001_vs_FS741,Right-Putamen,5.080693614070389,4.006450275855162e-07,0.1658902136225794,4229,3.605805248269646e-05
FS8001_vs_FS741,Right-Thalamus,6.8842479812911375,7.155593630250782e-12,0.22529644362055812,4229,6.440034267225703e-10
FS8001_vs_Samseg8,Brainstem,17.461579526605703,1.7820162882936658e-64,0.5825440620596593,4229,1.6038146594642993e-62
FS8001_vs_Samseg8,Left-Accumbens-area,3.035991578710374,0.0024173204730487045,0.09746473928017423,4229,0.2175588425743834
FS8001_vs_Samseg8,Left-Amygdala,15.330689826844516,9.977689566116782e-51,0.512144130889443,4229,8.979920609505103e-49
FS8001_vs_Samseg8,Left-Caudate,7.2254327748532035,6.486547104759326e-13,0.2379465457609514,4229,5.837892394283393e-11
FS8001_vs_Samseg8,Left-Hippocampus,6.134892105112389,9.68770225341582e-10,0.19952192295628202,4229,8.718932028074238e-08
FS8001_vs_Samseg8,Left-Pallidum,3.4120217570963596,0.0006535685711790522,0.11065208275479618,4229,0.058821171406114696
FS8001_vs_Samseg8,Left-Putamen,13.18223001071015,1.9099297093244505e-38,0.4369531625679172,4229,1.7189367383920053e-36
FS8001_vs_Samseg8,Left-Thalamus,16.36016390787506,2.5741636170116863e-57,0.5419852531992849,4229,2.3167472553105175e-55
FS8001_vs_Samseg8,Right-Accumbens-area,-2.034411656821373,0.04199569669737499,-0.06543736663615492,4229,1.0
FS8001_vs_Samseg8,Right-Amygdala,10.623976478064897,7.723898165788065e-26,0.3513320677546642,4229,6.951508349209258e-24
FS8001_vs_Samseg8,Right-Caudate,4.043849917147956,5.407079619751121e-05,0.13320810026263968,4229,0.0048663716577760086
