pipeline_pair,structure,r,p,n,p_adj
fslanat6071ants243_vs_freesurfer8001ants243,Left-Accumbens-area,0.14154886378526513,0.0019418812238928078,477,0.1747693101503527
fslanat6071ants243_vs_freesurfer8001ants243,Left-Amygdala,-0.22462531246393802,7.177506432966314e-07,477,6.459755789669682e-05
fslanat6071ants243_vs_freesurfer8001ants243,Left-Caudate,-0.05757589640629183,0.20939936023995603,477,1.0
fslanat6071ants243_vs_freesurfer8001ants243,Left-Hippocampus,-0.03059778860244905,0.504983864239026,477,1.0
fslanat6071ants243_vs_freesurfer8001ants243,Left-Pallidum,0.21484036946510915,2.187545522051575e-06,477,0.00019687909698464174
fslanat6071ants243_vs_freesurfer8001ants243,Left-Putamen,-0.015948284608224082,0.7282727975058553,477,1.0
fslanat6071ants243_vs_freesurfer8001ants243,Left-Thalamus,0.15068788910577033,0.0009623521813666084,477,0.08661169632299476
fslanat6071ants243_vs_freesurfer8001ants243,Right-Accumbens-area,0.1343603950358445,0.003280869787952647,477,0.29527828091573827
fslanat6071ants243_vs_freesurfer8001ants243,Right-Amygdala,-0.22476271133159445,7.063489643612783e-07,477,6.357140679251504e-05
fslanat6071ants243_vs_freesurfer8001ants243,Right-Caudate,-0.07000113945229855,0.12683314033803686,477,1.0
fslanat6071ants243_vs_freesurfer8001ants243,Right-Hippocampus,-0.11025728956236933,0.015992504924920974,477,1.0
fslanat6071ants243_vs_freesurfer8001ants243,Right-Pallidum,0.2268925567554001,5.50371048934712e-07,477,4.953339440412408e-05
fslanat6071ants243_vs_freesurfer8001ants243,Right-Putamen,-0.07300536586146804,0.11129410966924908,477,1.0
fslanat6071ants243_vs_freesurfer8001ants243,Right-Thalamus,0.08498483501839804,0.06365575919645802,477,1.0
fslanat6071ants243_vs_samseg8001ants243,Brainstem,0.026883740910206486,0.5580669695112298,477,1.0
fslanat6071ants243_vs_samseg8001ants243,Left-Accumbens-area,0.1753210662375416,0.00011866176444086455,477,0.01067955879967781
fslanat6071ants243_vs_samseg8001ants243,Left-Amygdala,-0.12543173509545585,0.0060857666678693694,477,0.5477190001082433
fslanat6071ants243_vs_samseg8001ants243,Left-Caudate,-0.07611198614617487,0.09684233885994413,477,1.0
fslanat6071ants243_vs_samseg8001ants243,Left-Hippocampus,0.1340715786988052,0.0033490401105180758,477,0.3014136099466268
fslanat6071ants243_vs_samseg8001ants243,Left-Pallidum,0.1732973872274275,0.00014251650162873676,477,0.012826485146586308
fslanat6071ants243_vs_samseg8001ants243,Left-Putamen,-0.04094526689264929,0.3722396112923247,477,1.0
fslanat6071ants243_vs_samseg8001ants243,Left-Thalamus,-0.2798496757723711,4.949583709585298e-10,477,4.4546253386267676e-08
fslanat6071ants243_vs_samseg8001ants243,Right-Accumbens-area,0.22321141995392332,8.458245865690294e-07,477,7.612421279121265e-05
fslanat6071ants243_vs_samseg8001ants243,Right-Amygdala,-0.09670260860803037,0.03473570150133433,477,1.0
fslanat6071ants243_vs_samseg8001ants243,Right-Caudate,-0.04808601569862272,0.2946085024465926,477,1.0
fslanat6071ants243_vs_samseg8001ants243,Right-Hippocampus,0.0625145715844394,0.17285411115893867,477,1.0
fslanat6071ants243_vs_samseg8001ants243,Right-Pallidum,0.07763231957840602,0.09033682447030039,477,1.0
fslanat6071ants243_vs_samseg8001ants243,Right-Putamen,-0.07023427417634776,0.12557002128013542,477,1.0
fslanat6071ants243_vs_samseg8001ants243,Right-Thalamus,-0.2509325559669325,2.7729800338071022e-08,477,2.495682030426392e-06
