pipeline_pair,structure,r,p,n,p_adj
FS8001_vs_FS741,Right-Caudate,-0.5071223574088285,3.1951960563461237e-275,4229,2.8756764507115115e-273
FS8001_vs_FS741,Right-Hippocampus,0.025250706270042667,0.10062130018543328,4229,1.0
FS8001_vs_FS741,Right-Pallidum,0.016792026177225416,0.27494194147216755,4229,1.0
FS8001_vs_FS741,Right-Putamen,0.0995614320400798,8.654065312326396e-11,4229,7.788658781093756e-09
FS8001_vs_FS741,Right-Thalamus,-0.4531586704654127,2.8234386167776576e-213,4229,2.541094755099892e-211
FS8001_vs_Samseg8,Brainstem,-0.464538469080695,1.9829905672021997e-225,4229,1.7846915104819797e-223
FS8001_vs_Samseg8,Left-Accumbens-area,0.04886800451349011,0.0014784358342770163,4229,0.13305922508493148
FS8001_vs_Samseg8,Left-Amygdala,-0.508214960522249,1.3544015309403325e-276,4229,1.2189613778462991e-274
FS8001_vs_Samseg8,Left-Caudate,-0.6256560489167089,0.0,4229,0.0
FS8001_vs_Samseg8,Left-Hippocampus,-0.21979323305751505,1.9771388021075473e-47,4229,1.7794249218967926e-45
FS8001_vs_Samseg8,Left-Pallidum,-0.14162316381975462,2.1661738542208156e-20,4229,1.949556468798734e-18
FS8001_vs_Samseg8,Left-Putamen,-0.1573551786946426,7.492316275678899e-25,4229,6.743084648111009e-23
FS8001_vs_Samseg8,Left-Thalamus,-0.6794278409352951,0.0,4229,0.0
FS8001_vs_Samseg8,Right-Accumbens-area,-0.05669869352065185,0.00022510455655502101,4229,0.02025941008995189
FS8001_vs_Samseg8,Right-Amygdala,-0.4777389229400753,4.0709533832033383e-240,4229,3.663858044883004e-238
FS8001_vs_Samseg8,Right-Caudate,-0.5580560740517655,0.0,4229,0.0
FS8001_vs_Samseg8,Right-Hippocampus,-0.23119937976361465,1.9928182901089788e-52,4229,1.793536461098081e-50
FS8001_vs_Samseg8,Right-Pallidum,-0.17555419331237737,1.2817212178517424e-30,4229,1.1535490960665681e-28
FS8001_vs_Samseg8,Right-Putamen,-0.007082642896618135,0.6451865928953232,4229,1.0
FS8001_vs_Samseg8,Right-Thalamus,-0.6223125649002187,0.0,4229,0.0
FSL6071_vs_FS741,Brainstem,0.2861309857351344,1.691333375089256e-80,4229,1.5222000375803304e-78
FSL6071_vs_FS741,Left-Accumbens-area,-0.2500556138723536,2.6509379922103362e-61,4229,2.3858441929893026e-59
FSL6071_vs_FS741,Left-Amygdala,0.0020394535726356126,0.894519104106566,4229,1.0
FSL6071_vs_FS741,Left-Caudate,-0.03462979670626666,0.02432152958944374,4229,1.0
FSL6071_vs_FS741,Left-Hippocampus,-0.13277869634515685,4.299917478326012e-18,4229,3.86992573049341e-16
FSL6071_vs_FS741,Left-Pallidum,-0.41134594888633474,2.1083866709177303e-172,4229,1.8975480038259573e-170
FSL6071_vs_FS741,Left-Putamen,0.008274001833531098,0.5906358782426618,4229,1.0
FSL6071_vs_FS741,Left-Thalamus,0.44288672179992983,1.0743002219591302e-202,4229,9.668701997632171e-201
FSL6071_vs_FS741,Right-Accumbens-area,0.05489826689045505,0.0003546521875414825,4229,0.03191869687873342
FSL6071_vs_FS741,Right-Amygdala,-0.24954977787789387,4.695440153431585e-61,4229,4.225896138088427e-59
FSL6071_vs_FS741,Right-Caudate,-0.14486466836911394,2.8564654594035645e-21,4229,2.570818913463208e-19
FSL6071_vs_FS741,Right-Hippocampus,-0.3711558057232503,2.9676737050893486e-138,4229,2.6709063345804136e-136
FSL6071_vs_FS741,Right-Pallidum,-0.29119921755024125,1.95308609160624e-83,4229,1.757777482445616e-81
FSL6071_vs_FS741,Right-Putamen,-0.19480892779274084,1.9250847950048395e-37,4229,1.7325763155043555e-35
FSL6071_vs_FS741,Right-Thalamus,0.38237287816834736,2.614223460812448e-147,4229,2.352801114731203e-145
